S1:US-DE-LL-all,S2:US-DE-LL-core,S3:Juvenile-Survey-LL,S4:TW-LA-LL-N,S5:JP-OF-DW-SH-LL-M3,S6:JP-OF-DW-SH-LL-M5,S7:JP-OF-DW-DE-LL-M7
-999,-999,1.47,-999,0.409858669424336,0.180062090375992,1.08924879393522
-999,-999,1.24,-999,0.509824198552223,0.270093135563988,0.989317711922812
-999,-999,1.19,-999,0.649775939331265,0.430148327009314,1.02929014472777
-999,-999,0.94,-999,0.629782833505688,0.420144877543981,1.02929014472777
-999,-999,-999,-999,0.649775939331265,0.500172473266644,1.08924879393522
-999,-999,-999,-999,0.659772492244054,0.480165574335978,1.32908339076499
0.549738219895288,0.57,0.78,-999,0.649775939331265,0.480165574335978,1.36905582356995
0.849595430747263,0.87,1.18,-999,0.729748362633575,0.580200068989307,1.00930392832529
0.63969538315088,0.67,1.03,-999,0.659772492244054,0.500172473266644,1.09924190213646
0.709662065683008,0.72,0.97,-999,0.749741468459152,0.620213866850638,1.16919365954514
0.459781056639695,0.48,0.93,-999,0.809720785935884,0.680234563642635,1.09924190213646
0.739647786768206,0.74,0.97,0.540737729631135,0.959669079627715,0.860296654018627,1.08924879393522
0.599714421703951,0.65,0.94,0.664378667810666,0.999655291278869,0.890307002414626,1.36905582356995
0.809614469300333,0.81,0.92,0.513930743034628,1.0596346087556,0.950327699206623,1.73880082701585
0.969538315088053,0.97,0.79,0.229213885393057,0.909686315063771,0.840289755087961,1.06926257753274
0.929557353641123,0.92,0.84,0.402925798537101,1.20958290244743,1.10037944118662,0.859407305306685
0.759638267491671,0.8,0.76,0.31896284051858,1.13960703205791,1.08037254225595,0.929359062715369
0.959543074726321,0.9,0.84,0.704883647558176,1.29955187866253,1.33045877888927,0.669538249483115
0.779628748215136,0.79,1.05,0.876233561883219,1.39951740779042,1.47050707140393,0.709510682288077
1.03950499762018,1.03,1.16,1.35544932227534,1.15960013788349,1.12038634011728,0.339765678842178
1.02950975725845,1.04,-999,1.36040931979534,1.55946225439504,1.78061400482925,0.75947622329428
1.24940504521656,1.26,-999,1.15893942053029,1.51947604274388,1.86064160055191,1.31909028256375
1.35935268919562,1.38,-999,1.16779941610029,1.41951051361599,1.73059675750259,1.08924879393522
1.77915278438839,1.97,-999,1.16425941787029,1.39951740779042,1.77061055536392,0.749483115093039
1.6292241789624,1.63,-999,1.45664927167536,1.38952085487763,2.03070024146257,0.849414197105445
1.45930509281295,1.51,-999,1.29840935079532,1.2395725611858,1.60055191445326,0.779462439696761
1.69919086149453,1.29,-999,2.13850893074553,0.979662185453292,1.00034494653329,0.669538249483115
-999,-999,-999,1.33690933154533,1.09962082040676,1.09037599172128,0.919365954514128
-999,-999,-999,1.31139934430033,1.1496035849707,1.35046567781994,0.789455547898001
