run_id,type,name,row,col,value
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,5,2,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,6,2,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,7,2,0.57
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,8,2,0.87
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,9,2,0.67
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,10,2,0.72
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,11,2,0.48
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,12,2,0.74
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,13,2,0.65
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,14,2,0.81
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,15,2,0.97
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,16,2,0.92
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,17,2,0.8
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,18,2,0.9
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,19,2,0.79
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,20,2,1.03
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,21,2,1.04
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,22,2,1.26
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,23,2,1.38
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,24,2,1.97
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,25,2,1.63
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,26,2,1.51
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,27,2,1.29
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,28,2,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,29,2,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,1,3,1.47
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,2,3,1.24
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,3,3,1.19
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,4,3,0.94
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,5,3,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,6,3,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,7,3,0.78
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,8,3,1.18
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,9,3,1.03
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,10,3,0.97
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,11,3,0.93
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,12,3,0.97
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,13,3,0.94
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,14,3,0.92
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,15,3,0.79
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,16,3,0.84
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,17,3,0.76
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,18,3,0.84
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,19,3,1.05
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,20,3,1.16
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,21,3,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,22,3,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,23,3,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,24,3,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,25,3,-999
