run_label,model_number,index,main_prior,catch,divergent,max_rhat,min_neff,index_rmse,index_loglik
0001_1.B.B.J.ELL_0,1,1,B,ELL,0,1.00670262441168,639.022180937071,0.202370363354715,0.189001775495615
0002_2.B.B.J.ELL_0,2,2,B,ELL,0,1.00619580747642,875.799076508253,0.225017314076609,0.162279159823593
0003_4.B.B.J.ELL_0,3,4,B,ELL,0,1.00494605135245,792.854327781341,0.313652635247094,-0.230610030019235
0004_5.B.B.J.ELL_0,4,5,B,ELL,0,1.00980355695034,594.334167933426,0.132849166234631,15.2709790807188
0005_1.E.B.J.ELL_0,5,1,E,ELL,0,1.01080464106832,814.997556979174,0.191300774687963,0.644597111013968
0006_2.E.B.J.ELL_0,6,2,E,ELL,0,1.003966179751,805.003719615387,0.214972344315882,0.578120856724245
0007_4.E.B.J.ELL_0,7,4,E,ELL,0,1.0044103827443,829.173729393732,0.306896517315625,0.0223315806251851
0008_5.E.B.J.ELL_0,8,5,E,ELL,1,1.00493780323014,820.329967744558,0.134378545145042,15.2524608517427
0009_1.B.B.J.EC_0,9,1,B,EC,0,1.0059710707306,776.392989018216,0.201105097288475,-329.236034035963
0010_2.B.B.J.EC_0,10,2,B,EC,0,1.00695772438904,793.10095549087,0.220538646498491,0.201116703305181
0011_4.B.B.J.EC_0,11,4,B,EC,0,1.00763011828764,735.828012740205,0.325279888861738,-6.45572767971051
0012_5.B.B.J.EC_0,12,5,B,EC,0,1.01190137036389,630.315104836733,0.136173374010036,-27.1366439355005
0013_1.E.B.J.EC_0,13,1,E,EC,0,1.00675488630308,828.55991599372,0.186703421063126,-329.173475242351
0014_2.E.B.J.EC_0,14,2,E,EC,0,1.00625218799608,795.119127233374,0.21132587799027,0.864833515629087
0015_4.E.B.J.EC_0,15,4,E,EC,0,1.00845283679109,772.143408415704,0.312783725199115,-9.20014956029156
0016_5.E.B.J.EC_0,16,5,E,EC,0,1.01245656520568,774.411054328617,0.137401955400638,-25.5100525990549
0017_1.B.B.J.EC2_0,17,1,B,EC2,0,1.00648497807763,768.680456569802,0.203060043288729,-329.24811078428
0018_2.B.B.J.EC2_0,18,2,B,EC2,0,1.00870910252256,703.00528469875,0.221237509468462,0.235397161450133
0019_4.B.B.J.EC2_0,19,4,B,EC2,0,1.00706125966572,801.243224597208,0.326979909197383,-6.814955800431
0020_5.B.B.J.EC2_0,20,5,B,EC2,0,1.00685486758792,667.155451667371,0.136674155245983,-27.8026583679547
0021_1.E.B.J.EC2_0,21,1,E,EC2,0,1.00633678768386,599.946548025053,0.184685534711119,-329.319776143837
0022_2.E.B.J.EC2_0,22,2,E,EC2,0,1.00724805139461,812.959118359592,0.210635610221467,0.859602144992374
0023_4.E.B.J.EC2_0,23,4,E,EC2,0,1.00663720102375,796.996208729241,0.312212643816507,-11.0461607357009
0024_5.E.B.J.EC2_0,24,5,E,EC2,0,1.00742340825458,842.307459355525,0.138649662434942,-25.3757840018376
0025_1.B.B.J.EC3_0,25,1,B,EC3,0,1.00910993781399,565.684031173815,0.20348746718718,-329.040292803401
0026_2.B.B.J.EC3_0,26,2,B,EC3,0,1.00575561296186,768.4964903442,0.221566189247405,0.239280724171968
0027_4.B.B.J.EC3_0,27,4,B,EC3,0,1.00608787038036,784.599795784392,0.325272062637601,-7.32071815364168
0028_5.B.B.J.EC3_0,28,5,B,EC3,0,1.00577479607104,825.874802969363,0.136254379356583,-27.1625482286917
0029_1.E.B.J.EC3_0,29,1,E,EC3,0,1.00954814794831,666.63907656762,0.185533950575606,-329.23677447088
0030_2.E.B.J.EC3_0,30,2,E,EC3,0,1.01188975443303,696.322271256927,0.211743660275428,0.866093229945288
0031_4.E.B.J.EC3_0,31,4,E,EC3,0,1.00569049755556,788.906236934976,0.312216255767107,-13.0878664310052
0032_5.E.B.J.EC3_0,32,5,E,EC3,0,1.00484898717634,769.50297307781,0.140137354718507,-25.7682399525443
