run_id,type,name,row,col,value
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,T,,,29
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,I,,,7
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,1,1,-999
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,2,1,-999
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,3,1,-999
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,4,1,-999
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,5,1,-999
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,6,1,-999
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,7,1,0.549738219895288
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,8,1,0.849595430747263
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,9,1,0.63969538315088
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,10,1,0.709662065683008
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,11,1,0.459781056639695
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,12,1,0.739647786768206
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,13,1,0.599714421703951
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,14,1,0.809614469300333
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,15,1,0.969538315088053
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,16,1,0.929557353641123
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,17,1,0.759638267491671
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,18,1,0.959543074726321
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,19,1,0.779628748215136
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,20,1,1.03950499762018
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,21,1,1.02950975725845
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,22,1,1.24940504521656
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,23,1,1.35935268919562
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,24,1,1.77915278438839
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,25,1,1.6292241789624
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,26,1,1.45930509281295
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,27,1,1.69919086149453
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,28,1,-999
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,29,1,-999
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,1,2,-999
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,2,2,-999
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,3,2,-999
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,4,2,-999
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,5,2,-999
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,6,2,-999
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,7,2,0.57
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,8,2,0.87
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,9,2,0.67
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,10,2,0.72
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,11,2,0.48
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,12,2,0.74
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,13,2,0.65
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,14,2,0.81
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,15,2,0.97
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,16,2,0.92
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,17,2,0.8
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,18,2,0.9
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,19,2,0.79
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,20,2,1.03
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,21,2,1.04
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,22,2,1.26
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,23,2,1.38
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,24,2,1.97
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,25,2,1.63
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,26,2,1.51
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,27,2,1.29
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,28,2,-999
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,29,2,-999
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,1,3,1.47
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,2,3,1.24
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,3,3,1.19
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,4,3,0.94
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,5,3,-999
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,6,3,-999
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,7,3,0.78
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,8,3,1.18
0005_1.E.B.J.ELL_0-bspm_F_llq,Data,index,9,3,1.03
